ID,Assessment Date,Address,Unit # (if applicable),Is there a fire alarm system in this building serving more than one unit? (Does the smoke detector in 1 unit set off the entire building's fire alarm system),Is the building sprinklered?,Are there fire extinguishers in the building?,Is there a fire alarm system in this building?,Is the building sprinklered?2,Are there fire extinguishers in the building?2
254,18/01/2024,92 Commerce Park Drive,No unit # on the building and owner didn’t know. Might not have one for an address. Business was beside Unit 8. So he might be Unit 9,,,,,,
255,09/01/2024,92 Commerce Park Drive ,8,,,,No,Yes,Yes
256,19/01/2024,157 Essa rd,Na,,,,Yes,No,Yes
257,22/01/2024,13 Dunlop st west,11,,,,No,No,Yes
258,22/01/2024,92 commerce park ,2,,,,No,Yes,Yes
259,22/01/2024,660 Bayview,6-9,,,,No,Yes,Yes
260,22/01/2024,92 commerce park drive ,6,,,,No,Yes,Yes
261,23/01/2024,142 Commerce Park Drive,K,,,,No,Yes,Yes
262,24/01/2024,102 Commerce Park,11,,,,No,Yes,Yes
263,23/01/2024,556 Bryne,11,,,,No,Yes,Yes
264,23/01/2024,142 Commerce Park,G,,,,No,Yes,Yes
265,24/01/2024,78 Mary St. ,0,,,,No,No,Yes
266,24/01/2024,76 Mary St. ,n/a,,,,No,No,Yes
267,24/01/2024,62 Mary St. ,N/a,,,,No,No,No
268,24/01/2024, 70 Morrow road,Not,,,,Yes,No,Yes
269,24/01/2024,12 Bryne Drive,Not,,,,Yes,Yes,Yes
270,24/01/2024,142 commerce park ,V,,,,No,No,Yes
271,24/01/2024,142 commerce park ,T,,,,No,Yes,Yes
272,25/01/2024,360,6,,,,No,No,Yes
273,25/01/2024,28 Currie st,"16,17",,,,No,Yes,Yes
274,25/01/2024,373 Huronia road,N/a,,,,No,No,Yes
275,25/01/2024,28 Currie Street,23A,,,,No,Yes,No
276,25/01/2024,35 Morrow,1,,,,No,Yes,Yes
277,25/01/2024,30 morrow,7,,,,No,Yes,Yes
278,25/01/2024,30 morrow,8/9,,,,No,Yes,Yes
279,25/01/2024,30 morrow,10/11,,,,No,Yes,Yes
280,26/01/2024,331 bayfield st,3,,,,No,No,Yes
281,26/01/2024,331 bayfield st,1,,,,No,Yes,Yes
282,27/01/2024,411 Bayfield St. ,Moores ,,,,No,Yes,Yes
283,27/01/2024,411 Bayfield St. ,Winners,,,,Yes,Yes,Yes
284,29/01/2024,92 Commerce Park Dr.,1,,,,No,Yes,Yes
285,29/01/2024,360 Bayfield St,Mucho Burrito,,,,No,No,Yes
286,29/01/2024,360 Bayfield St,N/A,,,,No,No,Yes
287,30/01/2024,60 Mary St,N/A,,,,No,No,Yes
288,31/01/2024,411 huronia,10,,,,No,No,Yes
